Афганистан,AF
Албания,AL
Алжир,DZ
Андорра,AD
Ангола,AO
Антигуа и Барбуда,AG
Аргентина,AR
Армения,AM
Австралия,AU
Австрия,AT
Азербайджан,AZ
Багамы,BS
Бахрейн,BH
Бангладеш,BD
Барбадос,BB
Беларусь,BY
Бельгия,BE
Белиз,BZ
Бенин,BJ
Бутан,BT
Боливия,BO
Босния и Герцеговина,BA
Ботсвана,BW
Бразилия,BR
Бруней-Даруссалам,BN
Болгария,BG
Буркина-Фасо,BF
Бурунди,BI
Кабо-Верде,CV
Камбоджа,KH
Камерун,CM
Канада,CA
Центральноафриканская Республика,CF
Чад,TD
Чили,CL
Китай,CN
Колумбия,CO
Коморы,KM
Конго (Браззавиль),CG
Конго (Киншаса),CD
Коста-Рика,CR
Хорватия,HR
Куба,CU
Кипр,CY
Чехия,CZ
Дания,DK
Джибути,DJ
Доминика,DM
Доминиканская Республика,DO
Эквадор,EC
Египет,EG
Сальвадор,SV
Экваториальная Гвинея,GQ
Эритрея,ER
Эстония,EE
Эсватини,SZ
Эфиопия,ET
Фиджи,FJ
Финляндия,FI
Франция,FR
Габон,GA
Гамбия,GM
Грузия,GE
Германия,DE
Гана,GH
Греция,GR
Гренада,GD
Гватемала,GT
Гвинея,GN
Гвинея-Бисау,GW
Гайана,GY
Гаити,HT
Гондурас,HN
Венгрия,HU
Исландия,IS
Индия,IN
Индонезия,ID
Иран,IR
Ирак,IQ
Ирландия,IE
Израиль,IL
Италия,IT
Ямайка,JM
Япония,JP
Иордания,JO
Казахстан,KZ
Кения,KE
Кирибати,KI
Кувейт,KW
Киргизия,KG
Лаос,LA
Латвия,LV
Ливан,LB
Лесото,LS
Либерия,LR
Ливия,LY
Лихтенштейн,LI
Литва,LT
Люксембург,LU
Мадагаскар,MG
Малави,MW
Малайзия,MY
Мальдивы,MV
Мали,ML
Мальта,MT
Маршалловы Острова,MH
Мавритания,MR
Маврикий,MU
Мексика,MX
Микронезия,FM
Молдова,MD
Монако,MC
Монголия,MN
Черногория,ME
Марокко,MA
Мозамбик,MZ
Мьянма,MM
Намибия,NA
Науру,NR
Непал,NP
Нидерланды,NL
Новая Зеландия,NZ
Никарагуа,NI
Нигер,NE
Нигерия,NG
Северная Македония,MK
Норвегия,NO
Оман,OM
Пакистан,PK
Палау,PW
Панама,PA
Папуа — Новая Гвинея,PG
Парагвай,PY
Перу,PE
Филиппины,PH
Польша,PL
Португалия,PT
Катар,QA
Румыния,RO
Россия,RU
Руанда,RW
Сент-Китс и Невис,KN
Сент-Люсия,LC
Сент-Винсент и Гренадины,VC
Самоа,WS
Сан-Марино,SM
Сан-Томе и Принсипи,ST
Саудовская Аравия,SA
Сенегал,SN
Сербия,RS
Сейшелы,SC
Сьерра-Леоне,SL
Сингапур,SG
Словакия,SK
Словения,SI
Соломоновы Острова,SB
Сомали,SO
Южная Африка,ZA
Южная Корея,KR
Южный Судан,SS
Испания,ES
Шри-Ланка,LK
Судан,SD
Суринам,SR
Швеция,SE
Швейцария,CH
Сирия,SY
Тайвань,TW
Таджикистан,TJ
Танзания,TZ
Таиланд,TH
Восточный Тимор,TL
Того,TG
Тонга,TO
Тринидад и Тобаго,TT
Тунис,TN
Турция,TR
Туркменистан,TM
Тувалу,TV
Уганда,UG
Украина,UA
Объединённые Арабские Эмираты,AE
Великобритания,GB
США,US
Уругвай,UY
Узбекистан,UZ
Вануату,VU
Ватикан,VA
Венесуэла,VE
Вьетнам,VN
Йемен,YE
Замбия,ZM
Зимбабве,ZW